maskSz,maskSf,maskBv,BsfMask,maskPeriFade,targSz,targSf,targOri,targXoff,targYoff,targV,targTtot,targTpeak,fixCross,trialT,trialN
256,0.1,0.01,0.05,16,16,0.1,0,0,0,0,1,0.5,0,2,2
256,0.1,0.01,0.05,16,16,0.1,0,0,0,0,1,1,0,2,2
256,0.1,0.01,0.05,16,16,0.1,0,0,0,0,1,1.5,0,2,2
256,0.1,4.8,0.05,16,16,0.1,0,0,0,0,1,0.5,0,2,2
256,0.1,4.8,0.05,16,16,0.1,0,0,0,0,1,1,0,2,2
256,0.1,4.8,0.05,16,16,0.1,0,0,0,0,1,1.5,0,2,2
