startContr,mcSz,mcSf,mcBv,mcBsf,mcPeriFade,targSz,targSf,targOri1,targOri2,targXoff1,targXoff2,targYoff,targV,targTtot,targTpeak,fixCross,trialT,nRevs
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
-2,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
-2,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
-2,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
0,256,0.1,0,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
0,256,0.1,10,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,0.5,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,0,0.66,1.5,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,0.5,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1,1,2,10
0,256,0.1,60,0.05,8,28,0.1,0,0,-100,100,0,16,0.66,1.5,1,2,10
